ID	Gene.symbol	Gene.title	log2(fold change)	-log10(Pvalue)
201743_at	CD14	CD14 molecule	0.631	2.856
201761_at	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	-1.126	5.718
201762_s_at	MIR7703///PSME2	microRNA 7703///proteasome activator subunit 2	-0.726	4.589
201785_at	RNASE1	ribonuclease A family member 1, pancreatic	0.962	6.984
201791_s_at	DHCR7	7-dehydrocholesterol reductase	-0.699	2.947
201802_at	SLC29A1	solute carrier family 29 member 1 (Augustine blood group)	0.862	3.955
201814_at	TBC1D5	TBC1 domain family member 5	0.335	2.615
201818_at	LPCAT1	lysophosphatidylcholine acyltransferase 1	-0.594	3.012
201821_s_at	TIMM17A	translocase of inner mitochondrial membrane 17 homolog A (yeast)	-0.805	2.478
201828_x_at	FAM127A	family with sequence similarity 127 member A	0.49	2.947
201839_s_at	EPCAM	epithelial cell adhesion molecule	-2.392	16.311
201842_s_at	EFEMP1	EGF containing fibulin like extracellular matrix protein 1	1.022	7.4
201843_s_at	EFEMP1	EGF containing fibulin like extracellular matrix protein 1	0.8	5.876
201849_at	BNIP3	BCL2 interacting protein 3	0.727	2.61
201865_x_at	NR3C1	nuclear receptor subfamily 3 group C member 1	0.437	2.643
201885_s_at	CYB5R3	cytochrome b5 reductase 3	0.771	6.352
201890_at	RRM2	ribonucleotide reductase regulatory subunit M2	-1.474	7.72
201893_x_at	DCN	decorin	0.517	3.589
201911_s_at	FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1	-0.633	3.704
201920_at	SLC20A1	solute carrier family 20 member 1	-0.775	3.768
201947_s_at	CCT2	chaperonin containing TCP1 subunit 2	-1.159	3.342
201952_at	ALCAM	activated leukocyte cell adhesion molecule	-1.184	7.48
201961_s_at	RNF41	ring finger protein 41	0.345	2.572
201963_at	ACSL1	acyl-CoA synthetase long-chain family member 1	1.892	6.603
201968_s_at	PGM1	phosphoglucomutase 1	0.821	5.084
201983_s_at	EGFR	epidermal growth factor receptor	1.049	4.87
201989_s_at	CREBL2	cAMP responsive element binding protein like 2	0.433	2.915
201990_s_at	CREBL2	cAMP responsive element binding protein like 2	0.441	2.682
201999_s_at	DYNLT1	dynein light chain Tctex-type 1	-0.409	3.028
202003_s_at	ACAA2	acetyl-CoA acyltransferase 2	1.273	5.905
202007_at	NID1	nidogen 1	1.023	4.701
202014_at	PPP1R15A	protein phosphatase 1 regulatory subunit 15A	0.692	5.769
202016_at	MEST	mesoderm specific transcript	0.626	4.198
202017_at	EPHX1	epoxide hydrolase 1	0.575	3.278
202018_s_at	LTF	lactotransferrin	-1.778	5.507
202023_at	EFNA1	ephrin A1	-0.953	4.315
202043_s_at	SMS	spermine synthase	-0.492	3.817
202054_s_at	ALDH3A2	aldehyde dehydrogenase 3 family member A2	0.919	3.65
202071_at	SDC4	syndecan 4	-0.908	7.28
202073_at	OPTN	optineurin	0.472	3.936
202074_s_at	OPTN	optineurin	0.759	3.233
202075_s_at	PLTP	phospholipid transfer protein	0.657	2.782
202088_at	SLC39A6	solute carrier family 39 member 6	-0.94	6.309
202089_s_at	SLC39A6	solute carrier family 39 member 6	-0.671	3.904
202108_at	PEPD	peptidase D	0.917	4.223
202112_at	VWF	von Willebrand factor	1.464	6.187
202156_s_at	CELF2	CUGBP, Elav-like family member 2	0.99	2.656
202157_s_at	CELF2	CUGBP, Elav-like family member 2	0.895	6.327
202160_at	CREBBP	CREB binding protein	-0.586	2.791
202187_s_at	PPP2R5A	protein phosphatase 2 regulatory subunit B'alpha	0.811	4.532
202189_x_at	MIR4745///PTBP1	microRNA 4745///polypyrimidine tract binding protein 1	-1.357	5.508
202193_at	LIMK2	LIM domain kinase 2	-1.321	7.34
202200_s_at	SRPK1	SRSF protein kinase 1	-0.556	4.313
202202_s_at	LAMA4	laminin subunit alpha 4	0.979	7.361
202207_at	ARL4C	ADP ribosylation factor like GTPase 4C	-0.428	2.494
202217_at	C21orf33	chromosome 21 open reading frame 33	0.499	2.92
202220_at	KIAA0907	KIAA0907	-0.473	3.559
202227_s_at	BRD8	bromodomain containing 8	-0.475	3.351
202229_s_at	CHERP	calcium homeostasis endoplasmic reticulum protein	0.618	3.392
202243_s_at	PSMB4	proteasome subunit beta 4	-0.998	2.967
202246_s_at	CDK4	cyclin dependent kinase 4	-0.473	2.953
202260_s_at	STXBP1	syntaxin binding protein 1	0.895	4.524
202283_at	SERPINF1	serpin family F member 1	1.5	5.811
202286_s_at	TACSTD2	tumor-associated calcium signal transducer 2	-2.656	14.841
202297_s_at	RER1	retention in endoplasmic reticulum sorting receptor 1	-0.598	4.22
202309_at	MTHFD1	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1	0.706	6.775
202310_s_at	COL1A1	collagen type I alpha 1 chain	-0.869	2.472
202311_s_at	COL1A1	collagen type I alpha 1 chain	-0.951	3.254
202314_at	LRRD1///CYP51A1	leucine rich repeats and death domain containing 1///cytochrome P450 family 51 subfamily A member 1	-0.559	2.955
202345_s_at	FABP5	fatty acid binding protein 5	2.027	5.836
202350_s_at	LOC100506558///MATN2	uncharacterized LOC100506558///matrilin 2	0.87	4.324
202357_s_at	CFB	complement factor B	-0.563	3.345
202375_at	SEC24D	SEC24 homolog D, COPII coat complex component	-0.862	4.321
202376_at	SERPINA3	serpin family A member 3	-0.806	5.123
202396_at	TCERG1	transcription elongation regulator 1	-0.532	3.386
202404_s_at	COL1A2	collagen type I alpha 2 chain	-0.527	2.62
202407_s_at	PRPF31	pre-mRNA processing factor 31	0.49	2.539
202421_at	IGSF3	immunoglobulin superfamily member 3	-0.561	3.698
202432_at	PPP3CB	protein phosphatase 3 catalytic subunit beta	0.74	2.428
202439_s_at	IDS	iduronate 2-sulfatase	0.541	4.283
202449_s_at	RXRA	retinoid X receptor alpha	0.565	4.59
202464_s_at	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	1.27	8.414
202481_at	DHRS3	dehydrogenase/reductase 3	0.519	4.534
202489_s_at	FXYD3	FXYD domain containing ion transport regulator 3	-1.372	7.742
202503_s_at	KIAA0101	KIAA0101	-0.391	2.776
202525_at	PRSS8	protease, serine 8	-0.649	3.102
202539_s_at	HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase	-1.157	5.425
202540_s_at	HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase	-0.953	3.5
202546_at	VAMP8	vesicle associated membrane protein 8	-0.674	4.425
202548_s_at	ARHGEF7	Rho guanine nucleotide exchange factor 7	0.381	3.439
202551_s_at	LOC101929500///CRIM1	uncharacterized LOC101929500///cysteine rich transmembrane BMP regulator 1	1.244	5.02
202552_s_at	LOC101929500///CRIM1	uncharacterized LOC101929500///cysteine rich transmembrane BMP regulator 1	0.521	2.877
202567_at	SNRPD3	small nuclear ribonucleoprotein D3 polypeptide	-0.65	3.391
202587_s_at	AK1	adenylate kinase 1	0.47	2.508
202596_at	ENSA	endosulfine alpha	-0.785	3.698
202597_at	IRF6	interferon regulatory factor 6	-0.344	2.431
202609_at	EPS8	epidermal growth factor receptor pathway substrate 8	0.414	3.159
202611_s_at	MED14	mediator complex subunit 14	-0.886	2.55
202620_s_at	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	0.585	2.669
202646_s_at	CSDE1	cold shock domain containing E1	0.519	4.098
202704_at	TOB1	transducer of ERBB2, 1	-0.602	3.136
202709_at	FMOD	fibromodulin	0.577	4.595
202712_s_at	CKMT1A///CKMT1B	creatine kinase, mitochondrial 1A///creatine kinase, mitochondrial 1B	-0.767	6.396
202719_s_at	TES	testin LIM domain protein	-0.371	2.783
202723_s_at	FOXO1	forkhead box O1	0.981	5.799
202724_s_at	FOXO1	forkhead box O1	1.275	6.375
202732_at	PKIG	protein kinase (cAMP-dependent, catalytic) inhibitor gamma	1.011	4.032
202746_at	ITM2A	integral membrane protein 2A	0.456	3.12
202759_s_at	PALM2-AKAP2///AKAP2	PALM2-AKAP2 readthrough///A-kinase anchoring protein 2	0.555	3.545
202760_s_at	PALM2-AKAP2///AKAP2	PALM2-AKAP2 readthrough///A-kinase anchoring protein 2	0.916	6.293
202762_at	ROCK2	Rho associated coiled-coil containing protein kinase 2	0.904	2.928
202768_at	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit	2.115	10.352
202780_at	OXCT1	3-oxoacid CoA-transferase 1	0.682	2.749
202782_s_at	INPP5K	inositol polyphosphate-5-phosphatase K	0.818	6.71
202783_at	NNT	nicotinamide nucleotide transhydrogenase	0.728	3.125
202796_at	SYNPO	synaptopodin	1.073	5.972
202800_at	SLC1A3	solute carrier family 1 member 3	1.113	5.717
202808_at	WBP1L	WW domain binding protein 1-like	0.788	2.697
202854_at	HPRT1	hypoxanthine phosphoribosyltransferase 1	-0.427	2.542
202862_at	FAH	fumarylacetoacetate hydrolase	1.028	6.691
202870_s_at	CDC20	cell division cycle 20	-0.586	3.109
202883_s_at	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta	0.543	4.641
202884_s_at	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta	0.686	2.991
202886_s_at	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta	0.431	3.697
202890_at	MAP7	microtubule associated protein 7	-1.847	8.918
202908_at	WFS1	wolframin ER transmembrane glycoprotein	0.389	2.61
202909_at	EPM2AIP1	EPM2A interacting protein 1	-0.869	2.945
202911_at	MSH6	mutS homolog 6	-0.618	3.313
202912_at	ADM	adrenomedullin	0.988	7.777
202920_at	ANK2	ankyrin 2, neuronal	0.382	2.86
202922_at	GCLC	glutamate-cysteine ligase catalytic subunit	0.433	2.648
202926_at	NBAS	neuroblastoma amplified sequence	0.507	2.85
202930_s_at	SUCLA2	succinate-CoA ligase ADP-forming beta subunit	0.514	2.465
202931_x_at	BIN1	bridging integrator 1	1.536	11.278
202934_at	HK2	hexokinase 2	0.664	2.489
202935_s_at	SOX9	SRY-box 9	-0.871	5.751
202936_s_at	SOX9	SRY-box 9	-0.495	3.504
202942_at	ETFB	electron transfer flavoprotein beta subunit	1.667	7.064
202949_s_at	FHL2	four and a half LIM domains 2	-0.577	3.338
202956_at	ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1	-0.67	4.571
202963_at	RFX5	regulatory factor X5	-1.023	6.107
202973_x_at	FAM13A	family with sequence similarity 13 member A	0.93	6.185
202975_s_at	RHOBTB3	Rho related BTB domain containing 3	0.794	4.521
202976_s_at	RHOBTB3	Rho related BTB domain containing 3	0.858	6.395
202982_s_at	ACOT1///ACOT2	acyl-CoA thioesterase 1///acyl-CoA thioesterase 2	1.888	7.105
202988_s_at	RGS1	regulator of G-protein signaling 1	-2.342	14.122
202990_at	PYGL	phosphorylase, glycogen, liver	0.903	6.434
203002_at	AMOTL2	angiomotin like 2	0.689	5.813
203010_at	STAT5A	signal transducer and activator of transcription 5A	0.853	3.28
203035_s_at	PIAS3	protein inhibitor of activated STAT 3	-0.618	2.5
203038_at	PTPRK	protein tyrosine phosphatase, receptor type K	-0.652	6.211
203050_at	TP53BP1	tumor protein p53 binding protein 1	-0.733	2.501
203065_s_at	CAV1	caveolin 1	2.185	10.7
203066_at	CHST15	carbohydrate (N-acetylgalactosamine 4-sulfate 6-O) sulfotransferase 15	-0.661	4.16
203070_at	SEMA3B	semaphorin 3B	0.542	2.545
203088_at	FBLN5	fibulin 5	0.515	4.19
203124_s_at	SLC11A2	solute carrier family 11 member 2	-1.19	6.333
203148_s_at	TRIM14	tripartite motif containing 14	-0.719	2.727
203150_at	RABEPK	Rab9 effector protein with kelch motifs	0.633	2.555
203167_at	TIMP2	TIMP metallopeptidase inhibitor 2	0.363	2.714
203179_at	GALT	galactose-1-phosphate uridylyltransferase	0.368	2.758
203186_s_at	S100A4	S100 calcium binding protein A4	1.374	3.7
203192_at	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	0.472	2.948
203197_s_at	C1orf123	chromosome 1 open reading frame 123	0.335	2.66
203213_at	CDK1	cyclin dependent kinase 1	-1.043	5.332
203215_s_at	MYO6	myosin VI	-1.511	8.829
203216_s_at	MYO6	myosin VI	-0.746	4.35
203223_at	RABEP1	rabaptin, RAB GTPase binding effector protein 1	0.484	2.789
203228_at	PAFAH1B3	platelet activating factor acetylhydrolase 1b catalytic subunit 3	-0.557	3.145
203229_s_at	CLK2	CDC like kinase 2	-0.641	3.528
203253_s_at	PPIP5K2	diphosphoinositol pentakisphosphate kinase 2	-0.627	2.786
203282_at	GBE1	glucan (1,4-alpha-), branching enzyme 1	0.808	4.178
203296_s_at	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2	1.373	6.922
203299_s_at	AP1S2	adaptor related protein complex 1 sigma 2 subunit	0.481	3.512
203313_s_at	TGIF1	TGFB induced factor homeobox 1	-0.807	3.255
203316_s_at	SNRPE	small nuclear ribonucleoprotein polypeptide E	-0.574	4.043
203323_at	CAV2	caveolin 2	1.299	10.399
203324_s_at	CAV2	caveolin 2	1.795	8.55
203329_at	PTPRM	protein tyrosine phosphatase, receptor type M	0.624	2.687
203336_s_at	ITGB1BP1	integrin subunit beta 1 binding protein 1	1.375	6.919
203337_x_at	ITGB1BP1	integrin subunit beta 1 binding protein 1	1.656	7.713
203358_s_at	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit	-1.258	7.587
203397_s_at	GALNT3	polypeptide N-acetylgalactosaminyltransferase 3	-1.545	7.713
203400_s_at	TF	transferrin	1.684	8.055
203401_at	PRPS2	phosphoribosyl pyrophosphate synthetase 2	-0.431	3.011
203403_s_at	RNF6	ring finger protein 6	-0.694	2.476
203407_at	PPL	periplakin	0.555	3.9
203414_at	MMD	monocyte to macrophage differentiation associated	1.036	9.415
203429_s_at	SUCO	SUN domain containing ossification factor	-0.483	3.358
203430_at	HEBP2	heme binding protein 2	0.492	2.798
203432_at	TMPO	thymopoietin	-0.939	4.476
203434_s_at	MME	membrane metallo-endopeptidase	0.829	2.786
203435_s_at	MME	membrane metallo-endopeptidase	0.973	9.153
203438_at	STC2	stanniocalcin 2	-0.679	2.69
203453_at	SCNN1A	sodium channel epithelial 1 alpha subunit	-0.671	2.636
203476_at	TPBG	trophoblast glycoprotein	-0.829	6.971
203477_at	COL15A1	collagen type XV alpha 1 chain	0.47	2.929
203498_at	RCAN2	regulator of calcineurin 2	0.379	3.11
203501_at	CPQ	carboxypeptidase Q	0.441	2.427
203505_at	ABCA1	ATP binding cassette subfamily A member 1	0.865	3.444
203508_at	TNFRSF1B	TNF receptor superfamily member 1B	0.76	2.804
203516_at	SNTA1	syntrophin alpha 1	0.703	5.892
203543_s_at	KLF9	Kruppel like factor 9	0.727	2.775
203548_s_at	LPL	lipoprotein lipase	3.073	13.281
203549_s_at	LPL	lipoprotein lipase	1.341	11.384
203569_s_at	OFD1	OFD1, centriole and centriolar satellite protein	-0.438	3.399
203571_s_at	ADIRF	adipogenesis regulatory factor	2.643	12.634
203574_at	NFIL3	nuclear factor, interleukin 3 regulated	0.424	3.055
203603_s_at	ZEB2	zinc finger E-box binding homeobox 2	0.773	2.751
203608_at	ALDH5A1	aldehyde dehydrogenase 5 family member A1	0.538	4.179
203612_at	BYSL	bystin like	0.491	2.487
203642_s_at	COBLL1	cordon-bleu WH2 repeat protein like 1	0.685	6.352
203645_s_at	CD163	CD163 molecule	0.624	2.403
203669_s_at	DGAT1	diacylglycerol O-acyltransferase 1	0.855	5.188
203675_at	NUCB2	nucleobindin 2	-0.552	3.308
203680_at	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta	1.564	7.123
203685_at	BCL2	BCL2, apoptosis regulator	0.582	3.89
203693_s_at	E2F3	E2F transcription factor 3	-1.064	6.383
203706_s_at	FZD7	frizzled class receptor 7	-0.577	3.092
203721_s_at	UTP18	UTP18, small subunit processome component	-0.583	4.141
203740_at	MPHOSPH6	M-phase phosphoprotein 6	-0.823	5.081
203743_s_at	TDG	thymine DNA glycosylase	-0.578	3.827
203744_at	HMGB3	high mobility group box 3	-0.5	2.855
203755_at	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B	-0.468	2.798
203769_s_at	STS	steroid sulfatase (microsomal), isozyme S	1.141	5.84
203780_at	MPZL2	myelin protein zero like 2	-0.549	2.996
203799_at	LY75-CD302///CD302///LY75	LY75-CD302 readthrough///CD302 molecule///lymphocyte antigen 75	1.089	5.524
203803_at	PCYOX1	prenylcysteine oxidase 1	0.691	2.438
203804_s_at	LUC7L3	LUC7 like 3 pre-mRNA splicing factor	-0.452	3.78
203810_at	DNAJB4	DnaJ heat shock protein family (Hsp40) member B4	0.522	3.206
203812_at	SLIT3	slit guidance ligand 3	1.045	9.492
